T_gender,Q013,Q002_1_slice,Q002_2_slice,Q002_3_slice,Q002_4_slice,Q002_5_slice,Q002_6_slice,Q002_7_slice,Q002_8_slice,Q002_9_slice,Q00P,Q003_1_slice,Q003_2_slice,Q003_3_slice,Q003_4_slice,Q003_5_slice,Q003_6_slice,Q003_7_slice,Q003_8_slice,Q003_9_slice,TT11edu1,T_Q001_2cat
1,2,3,3,3,2,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,4,2
1,4,3,3,3,2,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,5,2
2,5,1,3,2,1,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,5,2
1,3,3,3,3,3,2,3,2,2,2,3,3,3,4,4,4,4,4,3,3,1,2
1,1,2,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,2
1,4,2,3,2,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,4,2
1,5,2,3,2,3,3,3,3,3,4,NA,3,5,4,3,4,5,4,5,4,1,2
2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2
1,4,1,3,3,1,1,3,3,3,3,1,4,5,3,3,3,3,3,4,2,3,2
1,5,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,3,3,1,1,4,2
2,3,5,NA,1,5,5,5,5,5,4,2,5,4,1,5,5,4,4,3,2,2,2
1,2,3,3,2,2,2,2,2,1,2,2,4,3,2,3,4,4,3,2,2,5,2
1,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,3,3,3,3,5,2
1,5,3,3,1,1,1,3,2,2,1,2,5,5,4,5,5,4,4,2,2,5,2
2,5,2,2,1,3,3,2,2,3,2,2,4,4,4,5,5,3,3,4,3,3,2
2,3,3,3,2,3,3,3,3,3,3,2,2,3,2,4,4,2,2,3,2,4,2
2,5,3,3,1,3,3,3,3,1,3,3,2,3,4,5,5,2,4,5,3,5,2
2,4,1,2,2,1,2,1,1,2,1,3,2,2,2,2,2,2,2,2,2,1,1
1,2,2,2,2,3,2,2,2,2,2,3,3,3,3,4,4,3,3,2,3,1,2
1,5,3,4,NA,2,4,4,3,2,2,3,3,4,4,5,5,4,4,4,4,4,2
1,5,3,3,1,3,3,1,3,1,1,3,4,4,3,3,3,4,4,3,3,4,2
2,5,3,3,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,2
1,4,3,3,3,1,3,3,3,1,3,NA,4,4,4,4,4,4,4,4,4,1,1
2,4,3,3,3,1,1,3,3,1,3,2,3,3,2,3,3,3,2,2,2,3,2
1,5,4,5,3,3,3,4,4,3,3,NA,3,4,5,5,5,5,5,5,5,4,2
2,5,3,3,3,3,3,1,2,2,2,1,1,3,2,2,3,1,1,4,2,4,1
2,5,3,3,3,2,3,3,3,3,3,3,5,4,3,5,4,3,3,2,2,5,2
2,4,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
1,4,3,4,2,4,4,4,4,3,2,3,3,4,3,5,5,2,3,2,4,5,2
1,3,3,3,2,1,3,3,2,2,3,2,4,4,4,5,5,4,3,3,3,1,2
1,4,4,4,3,2,2,3,3,2,2,3,4,4,3,3,3,4,3,3,3,5,2
1,5,3,3,1,1,3,3,1,3,3,3,4,4,2,3,4,3,3,3,3,5,2
1,2,3,3,4,3,4,3,3,4,4,3,4,5,5,3,3,3,4,3,5,1,1
1,4,3,3,2,3,3,2,2,2,2,NA,5,5,5,4,4,5,5,4,4,4,2
2,5,NA,3,1,3,3,3,1,1,1,3,3,4,5,5,5,4,5,4,5,1,2
1,2,2,2,3,2,3,2,2,3,1,3,4,4,3,4,4,4,3,4,3,4,1
1,5,3,3,1,3,3,3,1,1,3,NA,2,3,3,4,4,2,2,1,1,5,2
1,2,1,1,1,1,1,1,1,1,1,3,3,4,5,5,5,4,3,3,3,3,2
1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,1,2,3,1
2,5,3,3,1,3,3,3,3,3,3,2,4,4,3,4,4,3,4,3,3,4,2
1,5,1,3,3,1,1,1,1,1,1,3,3,4,3,3,3,4,3,2,2,4,2
1,1,4,3,4,3,5,3,4,3,4,4,5,5,3,3,4,4,3,4,3,3,1
2,5,3,3,1,3,3,1,1,1,1,1,2,3,2,4,4,2,2,2,1,3,2
1,5,3,3,1,3,3,3,3,3,3,2,3,4,3,3,2,3,3,2,2,2,2
2,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,2,2,2,2,4,2
1,5,1,1,1,1,1,1,1,1,1,NA,2,3,3,3,3,3,3,3,3,2,2
2,4,3,3,1,1,1,1,1,1,1,5,2,2,2,2,2,2,2,2,2,2,1
1,4,3,3,3,1,1,3,3,1,1,1,4,4,3,2,4,3,3,2,2,3,2
2,4,4,4,3,3,3,3,3,3,3,5,2,2,2,2,2,2,2,2,2,3,2
2,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2
1,5,3,3,3,3,1,3,3,3,3,NA,4,4,4,4,3,4,5,4,4,5,2
2,4,3,3,3,4,4,4,4,4,2,3,2,3,3,3,3,3,3,3,3,NA,2
1,4,3,3,3,3,3,3,3,1,1,3,3,4,3,5,5,5,4,3,1,2,2
1,2,2,3,3,4,3,3,3,2,2,NA,4,5,3,4,4,4,5,4,4,2,2
1,5,3,3,3,3,3,3,1,3,1,2,3,3,3,2,3,3,3,2,3,1,2
1,1,1,1,1,1,2,1,1,1,1,1,2,3,4,5,5,1,2,2,2,NA,2
1,1,3,3,1,1,1,3,3,1,1,3,4,4,1,4,4,3,3,1,1,2,2
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2
1,2,3,1,1,2,2,2,2,2,1,2,3,2,3,4,4,3,3,3,3,5,2
1,4,3,3,1,3,3,3,3,3,1,2,5,5,4,5,5,1,1,5,2,1,2
1,4,3,3,2,2,2,3,2,2,3,2,3,3,3,3,3,2,3,3,3,5,2
2,3,3,4,2,4,3,2,3,2,4,NA,3,4,3,2,4,3,3,4,2,3,1
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
2,3,3,3,3,3,3,3,3,3,3,4,3,1,3,4,1,5,4,4,1,4,2
1,2,3,3,3,5,5,3,5,3,3,3,5,5,4,5,5,5,3,3,3,5,2
2,3,3,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2
2,5,3,3,1,3,3,3,1,3,1,3,4,3,2,4,3,4,3,2,3,NA,1
1,2,4,4,3,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,2
2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2
2,4,3,3,3,2,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2
2,2,2,3,2,2,1,2,3,2,1,NA,4,4,4,4,4,4,4,4,4,1,2
1,3,3,3,2,2,3,3,2,3,2,2,2,3,2,3,4,4,3,4,2,4,2
2,2,1,1,1,1,1,1,1,1,1,NA,3,5,5,4,2,4,3,3,4,1,1
2,5,3,3,3,3,3,3,1,3,1,4,4,4,4,5,5,4,3,2,2,2,2
1,4,2,3,3,1,1,2,2,2,4,2,4,4,4,2,2,2,2,4,4,2,2
2,5,3,3,3,1,3,3,3,1,1,NA,4,4,4,5,5,4,4,4,4,3,2
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,NA,NA,4,NA,NA,NA,NA,4,2
1,5,3,2,3,2,2,2,2,2,2,3,3,3,4,4,3,3,3,2,3,4,2
1,3,3,3,3,2,2,3,3,2,3,NA,5,5,5,5,5,5,5,5,5,5,1
1,5,1,3,1,1,1,1,1,1,1,3,3,3,2,3,4,3,5,4,4,2,2
2,4,3,3,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,NA,2
1,5,3,3,3,3,3,3,3,NA,2,3,4,4,4,5,5,4,4,4,4,3,2
2,1,5,5,3,3,3,5,3,3,5,4,4,4,5,5,4,4,5,4,4,1,1
2,4,1,3,3,1,3,1,1,3,1,2,3,2,2,4,4,2,3,3,2,3,1
2,5,3,3,2,2,3,3,1,2,1,2,4,4,5,4,5,2,3,5,1,1,2
1,1,2,3,2,2,3,2,2,3,3,3,4,4,4,4,4,4,4,4,4,2,2
2,5,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,2,2
1,2,5,5,3,1,1,5,5,5,5,4,5,5,5,1,1,5,5,4,4,1,2
2,5,3,3,1,3,3,3,3,2,2,2,5,5,5,5,5,5,5,5,5,3,2
2,5,3,3,3,3,3,3,3,3,3,2,3,4,4,4,4,3,4,3,3,4,1
